Date,Close,High,Low,Open,Volume,Ticker
2020-09-22 03:00:00,342.89,345.52,342.85,344.8,12076.68962,ETH-USD
2020-09-22 03:30:00,343.41,344.54,342.0,342.9,18293.72327,ETH-USD
2020-09-22 04:00:00,345.46,345.46,343.22,343.37,14888.8149,ETH-USD
2020-09-22 04:30:00,344.15,346.78,343.8,345.45,12687.09078,ETH-USD
2020-09-22 05:00:00,344.38,345.4,343.2,344.24,12840.20049,ETH-USD
2020-09-22 05:30:00,344.04,345.4,344.0,344.48,14313.01462,ETH-USD
2020-09-22 06:00:00,343.22,346.5,343.17,344.04,27819.26278,ETH-USD
2020-09-22 06:30:00,342.05,343.23,341.21,343.22,22148.8214,ETH-USD
2020-09-22 07:00:00,339.99,343.65,339.58,342.05,23133.33317,ETH-USD
2020-09-22 07:30:00,336.12,340.82,335.34,339.99,48515.72194,ETH-USD
2020-09-22 08:00:00,339.58,340.79,336.01,336.11,32510.29604,ETH-USD
2020-09-22 08:30:00,342.11,342.15,339.19,339.57,23494.62347,ETH-USD
2020-09-22 09:00:00,340.5,342.85,339.79,342.12,18641.70773,ETH-USD
2020-09-22 09:30:00,340.09,342.07,339.63,340.48,13130.25305,ETH-USD
2020-09-22 10:00:00,340.22,341.89,339.23,340.05,18373.97661,ETH-USD
2020-09-22 10:30:00,341.0,342.2,339.74,340.25,15317.53171,ETH-USD
2020-09-22 11:00:00,341.62,341.9,340.25,341.0,12153.22841,ETH-USD
2020-09-22 11:30:00,339.58,342.46,339.02,341.62,20415.50302,ETH-USD
2020-09-22 12:00:00,338.46,340.0,336.55,339.58,18955.21537,ETH-USD
2020-09-22 12:30:00,342.02,342.62,338.32,338.46,24512.82149,ETH-USD
2020-09-22 13:00:00,343.33,344.44,342.01,342.04,21126.36643,ETH-USD
2020-09-22 13:30:00,340.96,343.91,340.57,343.34,20391.18228,ETH-USD
2020-09-22 14:00:00,343.27,343.5,340.11,340.94,16124.38699,ETH-USD
2020-09-22 14:30:00,339.41,343.35,339.41,343.31,19335.04967,ETH-USD
2020-09-22 15:00:00,341.94,342.66,338.1,339.41,26259.06747,ETH-USD
2020-09-22 15:30:00,341.23,342.48,340.37,341.99,15257.03827,ETH-USD
2020-09-22 16:00:00,342.17,343.21,340.69,341.25,18473.89984,ETH-USD
2020-09-22 16:30:00,341.02,342.34,340.56,342.18,13086.29319,ETH-USD
2020-09-22 17:00:00,342.47,343.05,340.65,341.0,10652.98039,ETH-USD
2020-09-22 17:30:00,343.67,343.92,341.26,342.45,12013.2871,ETH-USD
2020-09-22 18:00:00,343.23,344.44,342.61,343.72,16905.39739,ETH-USD
2020-09-22 18:30:00,343.2,343.28,342.27,343.25,6869.48709,ETH-USD
2020-09-22 19:00:00,342.89,343.3,342.13,343.14,11139.12511,ETH-USD
2020-09-22 19:30:00,343.58,343.94,342.23,342.86,10813.47056,ETH-USD
2020-09-22 20:00:00,343.81,343.96,342.95,343.55,8939.58612,ETH-USD
2020-09-22 20:30:00,344.65,345.44,343.81,343.81,14076.17032,ETH-USD
2020-09-22 21:00:00,344.82,346.0,340.36,344.69,22115.85637,ETH-USD
2020-09-22 21:30:00,346.29,346.91,344.6,344.83,13223.17967,ETH-USD
2020-09-22 22:00:00,344.95,346.54,343.94,346.28,12089.17345,ETH-USD
2020-09-22 22:30:00,343.4,345.66,342.81,344.95,12235.79451,ETH-USD
2020-09-22 23:00:00,343.29,343.89,342.96,343.36,7672.31085,ETH-USD
2020-09-22 23:30:00,344.21,344.27,342.26,343.29,12634.65548,ETH-USD
2020-09-23 00:00:00,343.99,344.51,342.55,344.18,9875.98963,ETH-USD
2020-09-23 00:30:00,342.63,344.16,342.23,343.99,11367.07763,ETH-USD
2020-09-23 01:00:00,343.17,343.39,342.3,342.62,7455.0913,ETH-USD
2020-09-23 01:30:00,343.52,343.72,342.58,343.17,10957.58326,ETH-USD
2020-09-23 02:00:00,342.91,344.65,342.85,343.54,9788.44001,ETH-USD
2020-09-23 02:30:00,343.47,343.64,342.71,342.94,8174.24091,ETH-USD
2020-09-23 03:00:00,341.67,343.53,341.36,343.53,17017.6465,ETH-USD
2020-09-23 03:30:00,341.06,342.41,340.79,341.67,13157.77735,ETH-USD
2020-09-23 04:00:00,339.29,341.61,339.22,341.01,19339.3967,ETH-USD
2020-09-23 04:30:00,339.99,340.88,338.87,339.28,14426.38668,ETH-USD
2020-09-23 05:00:00,341.03,341.38,338.28,339.99,15200.50624,ETH-USD
2020-09-23 05:30:00,340.58,341.82,340.46,341.03,10337.70834,ETH-USD
2020-09-23 06:00:00,338.37,340.85,337.55,340.58,18466.21082,ETH-USD
2020-09-23 06:30:00,338.35,339.99,337.71,338.37,11227.11509,ETH-USD
2020-09-23 07:00:00,333.57,338.93,333.07,338.42,38595.47142,ETH-USD
2020-09-23 07:30:00,335.72,336.11,333.25,333.59,22558.70432,ETH-USD
2020-09-23 08:00:00,336.2,337.21,334.18,335.69,20350.40509,ETH-USD
2020-09-23 08:30:00,336.41,337.28,335.69,336.21,15838.04713,ETH-USD
2020-09-23 09:00:00,336.66,337.89,335.98,336.41,16307.56495,ETH-USD
2020-09-23 09:30:00,338.87,339.21,336.39,336.67,16478.19565,ETH-USD
2020-09-23 10:00:00,337.99,338.9,337.52,338.85,13124.74694,ETH-USD
2020-09-23 10:30:00,338.99,339.3,337.48,337.97,13214.2275,ETH-USD
2020-09-23 11:00:00,338.88,340.49,338.31,339.0,17879.407,ETH-USD
2020-09-23 11:30:00,338.71,339.83,338.6,338.86,11006.35312,ETH-USD
2020-09-23 12:00:00,340.0,340.48,337.54,338.72,13323.51968,ETH-USD
